apt_code,name,type,road_addr,local1,local2,local3,local4,gene_type,apt_gene,apt_const,apt_area,apt_parking,x,y,car_road,train_n,bus_n,admin,medical,culture,eschool_n,kinder_n,d_center_n,edu_n,bank,mart,convin,cluster
A10025116,e편한세상독산더타워아파트,아파트,서울특별시 금천구 범안로 1212,서울,금천구,독산동,,분양,432,대림산업,28706.0,449.0,126.896182,37.465826,5,2.0,5,4,40.0,3,2,3,151.0,2.833213344056216,19.0,12.0,46.0,3
A15205108,구일우성아파트,아파트,서울특별시 구로구 구일로2길 60,서울,구로구,구로동,구일우성아파트,분양,829,(주)우성건설,66439.0,0.0,126.8769093,37.4902883,4,4.0,7,5,37.0,0,2,4,137.0,2.5649493574615367,30.0,13.0,18.0,3
A15286807,구로현대연예인,아파트,서울특별시 구로구 구일로4길 46,서울,구로구,구로동,현대연예인아파트,분양,735,현대산업개발(주),56658.0,680.0,126.8771082,37.4929871,3,5.0,6,5,37.0,1,1,4,158.0,2.833213344056216,28.0,14.0,21.0,3
A10023951,광진그랜드파크,아파트,서울특별시 광진구 광나루로 458,서울,광진구,구의동,,분양,730,디엘이앤씨,69744.0,1033.0,127.0757555,37.544273,2,5.0,1,4,43.0,1,2,3,133.0,1.6094379124341005,32.0,11.0,34.0,3
A13402204,강변그대가리버뷰,아파트,서울특별시 강동구 올림픽로89길 58,서울,강동구,천호동,568569,분양,225,임광토건(주),19118.0,265.0,127.1233659,37.5483376,4,3.0,0,6,49.0,1,2,2,111.0,2.639057329615259,12.0,8.0,44.0,3
A10026197,문래동모아미래도아파트,아파트,서울특별시 영등포구 선유로9나길 5,서울,영등포구,문래동5가,문래동5가 문래동모아미래도아파트,,222,미래도건설,18399.0,251.0,126.8867198,37.51727072,3,8.0,9,1,35.0,1,3,1,146.0,3.1354942159291497,18.0,19.0,30.0,3
A10024925,문래롯데캐슬아파트,아파트,서울특별시 영등포구 선유로9길 30,서울,영등포구,문래동6가,,임대,499,롯데건설(주),28228.0,,126.8848656,37.51840229,3,8.0,8,1,32.0,2,3,2,135.0,2.995732273553991,25.0,18.0,30.0,3
A12187904,DMC마포청구아파트,아파트,서울특별시 마포구 성암로11길 60,서울,마포구,중동,390,분양,420,청구건설,35638.0,1.0,126.9020362,37.5740861,1,8.0,8,4,32.0,3,2,2,157.0,1.791759469228055,20.0,12.0,20.0,3
A14085002,원효산호,아파트,서울특별시 용산구 원효로 66,서울,용산구,원효로4가,118-16,분양,554,한양건설,46298.0,0.0,126.9503821,37.5327172,3,9.0,8,6,29.0,1,2,4,80.0,2.639057329615259,27.0,13.0,18.0,3
A15288804,신도림우성3차,아파트,서울특별시 구로구 신도림로21길 25,서울,구로구,신도림동,637번지,분양,284,우성건설,24070.0,181.0,126.8843198,37.5130829,3,6.0,5,3,31.0,1,2,2,149.0,3.1780538303479458,20.0,22.0,23.0,3
