,name,x,y
162,서울청덕초등학교,127.0003334,37.61203289
163,서울정수초등학교,127.0077189,37.60377489
164,서울정릉초등학교,127.0055327,37.61979153
165,서울정덕초등학교,127.0134213,37.59823995
166,서울장위초등학교,127.0500064,37.61144251
167,서울장월초등학교,127.0473205,37.62192922
168,서울장곡초등학교,127.0481512,37.61686002
169,서울일신초등학교,127.0401781,37.59881357
170,서울인수초등학교,127.0091358,37.64305053
171,서울유현초등학교,127.0113271,37.63228645
172,서울월곡초등학교,127.046081,37.61002442
173,서울우이초등학교,127.0142405,37.63860583
174,서울오현초등학교,127.0465761,37.62341912
175,서울안암초등학교,127.0220989,37.5871587
176,서울숭인초등학교,127.0382341,37.6091602
177,서울숭례초등학교,127.0352972,37.59452119
178,서울숭덕초등학교,127.013291,37.6038198
179,서울숭곡초등학교,127.0328151,37.60843284
180,서울수유초등학교,127.0202924,37.63124966
181,서울수송초등학교,127.0329178,37.63731441
182,서울송천초등학교,127.0237354,37.6149052
183,서울송중초등학교,127.0319965,37.61746908
184,서울성북초등학교,126.9987754,37.59405389
185,서울석관초등학교,127.0583553,37.61102206
186,서울석계초등학교,127.0697321,37.60881368
187,서울삼양초등학교,127.0161491,37.62329558
188,서울삼선초등학교,127.0126718,37.58714152
189,서울삼각산초등학교,127.0143427,37.61604124
190,서울번동초등학교,127.0400394,37.62902386
191,서울미양초등학교,127.0141334,37.62153242
192,서울미아초등학교,127.0216444,37.61058761
193,서울동신초등학교,127.017058,37.58328787
194,서울돈암초등학교,127.0131036,37.59374656
195,서울길음초등학교,127.01666,37.61363115
196,서울길원초등학교,127.0167996,37.60906464
197,서울개운초등학교,127.0274045,37.60181095
198,서울자곡초등학교,127.0994826,37.47204936
199,서울율현초등학교,127.108265,37.4745587
200,서울우솔초등학교,127.0192756,37.45709422
201,서울세명초등학교,127.0910759,37.4688571
202,서울우면초등학교,127.0237693,37.46471047
203,서울학동초등학교,127.0394356,37.51204595
204,서울포이초등학교,127.0520457,37.47581662
205,서울청담초등학교,127.045153,37.52828187
206,서울잠원초등학교,126.9983875,37.50185909
207,서울일원초등학교,127.0761419,37.48981271
208,서울이수초등학교,126.9840397,37.47815405
209,서울원촌초등학교,127.0123467,37.50624464
210,서울원명초등학교,127.017067,37.5007499
211,서울우암초등학교,127.0237234,37.47229555
212,서울왕북초등학교,127.0862372,37.48626102
