id,name,type,staion_num,y,x,bus_guide
122000356,강남경찰서.강남운전면허시험장,가로변시간,23473.0,37.509504,127.066009,미설치  
122000357,수도공고앞,일반차로,23474.0,37.487167,127.06196,미설치  
122000358,개포4단지5단지,일반차로,23475.0,37.486307,127.068121,미설치  
122000359,개포4단지6단지,일반차로,23476.0,37.486853,127.072076,미설치  
122000360,개포4단지7단지,일반차로,23477.0,37.487883,127.073603,미설치  
122000361,구룡마을,일반차로,23478.0,37.478906,127.064831,미설치  
122000362,개포동역1번출구,일반차로,23479.0,37.488968,127.065414,미설치  
122000364,경남아파트,일반차로,23481.0,37.488976,127.04132,미설치  
122000365,구룡역5번출구,일반차로,23483.0,37.486106,127.059199,미설치  
122000366,구룡역1번출구,일반차로,23484.0,37.48617,127.058961,미설치  
122000368,럭키아파트,일반차로,23488.0,37.491638,127.041126,미설치  
122000370,수도공고,일반차로,23491.0,37.487563,127.062343,미설치  
122000371,개포4단지6단지,일반차로,23492.0,37.486918,127.071998,미설치  
122000372,개포4단지5단지,일반차로,23493.0,37.486497,127.068237,미설치  
122000379,탄천공영차고지,일반차로,23502.0,37.507315,127.067614,미설치  
122000381,도곡한신아파트,일반차로,23504.0,37.486876,127.041158,미설치  
122000382,현대1차아파트,일반차로,23505.0,37.482117,127.055079,미설치  
122000384,영동고등학교현대아파트,일반차로,23507.0,37.521355,127.03953,설치   
122000385,개포4단지7단지,일반차로,23508.0,37.487433,127.072767,미설치  
122000386,총회회관.휘문고입구,가로변시간,23509.0,37.504256,127.065961,미설치  
122000387,예림당아트홀.신한은행전산센터,일반차로,23510.0,37.498223,127.044293,미설치  
122000388,새마을운동중앙회,가로변전일,23511.0,37.501889,127.067238,미설치  
122000389,총지사,일반차로,23512.0,37.49471,127.039592,설치   
122000390,신한은행데이터센터,일반차로,23513.0,37.498146,127.043699,미설치  
122000391,포스코사거리,일반차로,23514.0,37.507319,127.057528,미설치  
122000392,우성3차아파트,일반차로,23515.0,37.483822,127.057183,미설치  
122000393,우성6차아파트,일반차로,23516.0,37.477546,127.0552,미설치  
122000394,포이초교,일반차로,23517.0,37.475212,127.052693,미설치  
122000395,국악중고교,일반차로,23518.0,37.475652,127.050648,미설치  
122000396,풍양빌딩,일반차로,23519.0,37.47739,127.048815,설치   
122000397,코원에너지서비스,일반차로,23520.0,37.49807,127.076097,미설치  
122000398,코원에너지서비스,일반차로,23521.0,37.49849,127.076162,미설치  
122000399,현대1차우성아파트,일반차로,23522.0,37.48195,127.055112,설치   
122000400,포스코사거리,일반차로,23523.0,37.507031,127.057907,미설치  
122000401,국민은행그린공원,일반차로,23524.0,37.478785,127.047966,미설치  
122000402,삼익아파트앞,일반차로,23525.0,37.489895,127.0417,미설치  
122000403,래미안포레아파트,일반차로,23526.0,37.475659,127.107295,미설치  
122000404,래미안포레아파트,일반차로,23527.0,37.476098,127.107685,미설치  
122000408,한남대교전망카페,일반차로,23531.0,37.524552,127.015683,미설치  
122000503,도곡2동주민센터대치중학교,일반차로,23698.0,37.484253,127.045402,미설치  
122000524,도곡2동주민센터대치중학교,일반차로,23720.0,37.484487,127.045332,설치   
122000544,매봉역입구,일반차로,23749.0,37.485055,127.046452,미설치  
122000559,ST송은빌딩,일반차로,23766.0,37.524052,127.04407,미설치  
122000578,매봉역,일반차로,23785.0,37.486183,127.044624,미설치  
122000582,삼성역,일반차로,23789.0,37.507818,127.060483,미설치  
122000597,삼성역그랜드인터컨티넨탈,일반차로,23804.0,37.50849,127.061014,미설치  
122000598,포스코사거리,일반차로,23805.0,37.506072,127.055066,미설치  
122000599,포스코사거리,일반차로,23806.0,37.506628,127.055198,미설치  
