apt_code,name,type,road_addr,local1,local2,local3,local4,gene_type,apt_gene,apt_const,apt_area,apt_parking,x,y,car_road,train_n,bus_n,admin,medical,culture,eschool_n,kinder_n,d_center_n,edu_n,bank,mart,convin,cluster
A13480401,고덕현대,아파트,서울특별시 강동구 고덕로61길 37,서울,강동구,고덕동,현대아파트,분양,448,현대,32294.0,456.0,127.1521009,37.5565058,1.0,1.0,6.0,4.0,16.0,5.0,4.0,6.0,9.0,99.0,6.0,3.0,2.0,6
A14380409,광장극동1차,아파트,서울특별시 광진구 아차산로 552,서울,광진구,광장동,218-1,분양,448,극동건설,53453.0,450.0,127.1042868,37.5431884,5.0,1.0,5.0,2.0,3.0,2.0,3.0,6.0,17.0,11.0,6.0,1.0,0.0,2
A13981608,상계동양메이저,아파트,서울특별시 노원구 상계로5길 12,서울,노원구,상계동,1305번지,분양,448,동양메이저건설(주),38031.0,511.0,127.0640146,37.6578567,1.0,2.0,10.0,6.0,35.0,2.0,5.0,9.0,36.0,43.0,9.0,1.0,7.0,1
A13293505,도봉래미안,아파트,서울특별시 도봉구 도봉로170길 40,서울,도봉구,도봉동,서울시 도봉구 도봉로 170길 40,분양,448,삼성물산(주)건설부문,35282.0,489.0,127.0462651,37.6796389,3.0,1.0,8.0,3.0,5.0,1.0,1.0,5.0,16.0,1.0,2.0,1.0,0.0,2
A13922905,중계한화꿈에그린,아파트,서울특별시 노원구 중계로8길 29,서울,노원구,중계동,598,분양,448,한화건설,38195.0,527.0,127.0828152,37.6474408,1.0,0.0,4.0,3.0,3.0,0.0,2.0,4.0,13.0,26.0,4.0,0.0,1.0,2
A13204506,창동동아그린,아파트,서울특별시 도봉구 노해로63다길 34,서울,도봉구,창동,805,분양,449,동아종합환경(주),32443.0,397.0,127.0464538,37.654516,2.0,2.0,4.0,5.0,15.0,5.0,5.0,9.0,24.0,65.0,5.0,1.0,5.0,1
A13509009,아이파크삼성동,아파트,서울특별시 강남구 영동대로 640,서울,강남구,삼성동,87,분양,449,현대산업개발,75409.0,1261.0,127.0591223,37.5181937,4.0,2.0,1.0,2.0,7.0,3.0,1.0,1.0,6.0,7.0,13.0,6.0,1.0,3
A13790620,한강,아파트,서울특별시 서초구 잠원로 213-10,서울,서초구,잠원동,"(잠원동,한강아파트)",분양,450,한신공영,37803.0,530.0,127.0155924,37.5214482,5.0,0.0,4.0,3.0,3.0,1.0,2.0,1.0,5.0,18.0,5.0,1.0,4.0,3
A15286210,신도림현대,아파트,서울특별시 구로구 새말로9길 45,서울,구로구,구로동,신도림현대아파트,분양,450,현대건설주식회사,36005.0,379.0,126.886015,37.5049671,2.0,1.0,6.0,5.0,19.0,1.0,3.0,3.0,30.0,60.0,4.0,4.0,4.0,0
A13790721,신반포7차,아파트,서울특별시 서초구 잠원로 88,서울,서초구,잠원동,65-32 신반포7차22차 아파트 관리사무소,분양,320,한신공영(주),39725.0,380.0,127.0079051,37.5124574,7.0,1.0,6.0,5.0,5.0,0.0,3.0,3.0,19.0,10.0,6.0,4.0,1.0,3
