Unnamed: 0,apt_code,name,type,road_addr,local1,local2,local3,local4,gene_type,apt_gene,apt_const,apt_area,apt_parking,x,y,car_road,train_n,bus_n,admin,medical,culture,eschool_n,kinder_n,d_center_n,edu_n,bank,mart,convin,cluster
2333,A13550404,도곡동 포스코트 아파트,아파트,서울특별시 강남구 남부순환로381길 15,서울,강남구,도곡동,,분양,64,포스코건설,13109.0,0.0,127.0478029,37.48796893,1.0,3.0,47.0,4.0,25.0,1.0,1.0,3.0,10.0,39.0,16.0,0.0,16.0,2
1817,A13579503,역삼2차아이파크,아파트,서울특별시 강남구 도곡로57길 12,서울,강남구,역삼동,역삼2차아이파크아파트,분양,150,현대산업개발(주),13091.0,200.0,127.0520538,37.4967427,1.0,3.0,44.0,3.0,53.0,0.0,3.0,4.0,29.0,811.0,14.0,3.0,61.0,2
37,A13527001,도곡동양재디오빌,주상복합,서울특별시 강남구 강남대로 256,서울,강남구,도곡동,952번지,분양,155,대우건설,4261.0,125.0,127.0335386,37.4864782,1.0,2.0,61.0,2.0,45.0,0.0,2.0,2.0,21.0,92.0,25.0,0.0,54.0,2
2066,A13776301,반포리체,아파트,서울특별시 서초구 고무래로 35,서울,서초구,반포동,30-26,,1119,(주)대림/ (주)삼성,92870.0,1684.0,127.0133366,37.5037656,1.0,4.0,47.0,4.0,28.0,0.0,3.0,3.0,39.0,260.0,13.0,1.0,34.0,2
1800,A13775101,신동아아파트,아파트,서울특별시 서초구 사임당로 137,서울,서초구,서초동,1334,분양,997,신동아건설,101866.0,1200.0,127.024545,37.4904484,2.0,1.0,81.0,4.0,51.0,0.0,3.0,4.0,30.0,147.0,26.0,0.0,64.0,2
390,A14082601,신동아아파트,아파트,서울특별시 용산구 보광로 14,서울,용산구,보광동,,분양,226,신동아건설(주),19192.0,206.0,127.0020509,37.5258366,2.0,1.0,81.0,4.0,51.0,0.0,3.0,4.0,30.0,147.0,26.0,0.0,64.0,2
343,A13707003,서초대우아이빌,주상복합,서울특별시 서초구 서초대로58길 10,서울,서초구,서초동,1675-11번지,분양,215,대우건설,8544.0,165.0,127.0175669,37.4942468,1.0,2.0,63.0,3.0,29.0,0.0,2.0,5.0,29.0,108.0,25.0,0.0,47.0,2
2625,A10024435,삼성동대성유니드,,서울특별시 강남구 테헤란로77길 26,서울,강남구,삼성동,,분양,59,대성산업,4932.0,65.0,127.05402,37.50865,1.0,4.0,55.0,2.0,52.0,1.0,1.0,0.0,19.0,255.0,38.0,5.0,69.0,2
558,A13584101,대치포스코더샵,아파트,서울특별시 강남구 삼성로 417,서울,강남구,대치동,대치포스코더샵아파트,분양,276,포스코건설,41858.0,655.0,127.0571385,37.504007,1.0,3.0,55.0,3.0,66.0,0.0,3.0,3.0,24.0,992.0,40.0,1.0,78.0,2
1829,A13528005,테헤란로대우아이빌,주상복합,서울특별시 강남구 테헤란로 428,서울,강남구,대치동,서울시 강남구 대치동 891-6,분양,372,대우건설,15149.0,0.0,127.0540217,37.5056902,1.0,2.0,44.0,1.0,58.0,0.0,2.0,1.0,25.0,540.0,35.0,1.0,85.0,2
