전철역코드,전철역명,호선,외부코드,name,road_addr,x,y
3113,임학,인천선,I113,임학역 인천1호선,인천 계양구 장제로 지하 875,126.738633379569,37.5450120455649
3114,계산,인천선,I114,계산역 인천1호선,인천 계양구 경명대로 지하 1089,126.7277312169,37.5433079533771
3115,경인교대입구,인천선,I115,경인교대입구역 인천1호선,인천 계양구 계양대로 지하 162,126.722631302651,37.538124360683
3116,작전,인천선,I116,작전역 인천1호선,인천 계양구 계양대로 지하 73,126.722560827351,37.5302710952892
3117,갈산,인천선,I117,갈산역 인천1호선,인천 부평구 부평대로 지하 286,126.721550773775,37.5171177260985
3118,부평구청,인천선,I118,부평구청역 인천1호선,인천 부평구 부평대로 지하 189,126.720583092527,37.5084658276667
3120,부평,인천선,I120,부평역 인천1호선,인천 부평구 광장로 지하 15,126.723454741807,37.4903768319169
3121,동수,인천선,I121,동수역 인천1호선,인천 부평구 경인로 지하 877,126.718606270842,37.4855071635951
3122,부평삼거리,인천선,I122,부평삼거리역 인천1호선,인천 부평구 경인로 지하 765,126.71029378166388,37.477834830017315
3123,간석오거리,인천선,I123,간석오거리역 인천1호선,인천 남동구 경인로 지하 642,126.707918490817,37.4670826685298
3124,인천시청,인천선,I124,인천시청역 인천1호선,인천 남동구 예술로 지하 264,126.70223575350143,37.45773583769292
3125,예술회관,인천선,I125,예술회관역 인천1호선,인천 남동구 예술로 지하 172,126.700916120922,37.4485259845342
3126,인천터미널,인천선,I126,인천터미널역 인천1호선,인천 미추홀구 예술로 지하 85,126.699694889876,37.4419166733897
3127,문학경기장,인천선,I127,문학경기장역 인천1호선,인천 연수구 예술로 지하 2,126.698449383593,37.4346513434001
3128,선학,인천선,I128,선학역 인천1호선,인천 연수구 경원대로 지하 480,126.69892316532737,37.4269470843403
3129,신연수,인천선,I129,신연수역 인천1호선,인천 연수구 경원대로 지하 368,126.694019681969,37.4181081550544
