name,y,x
(주)이마트 양재점,37.4633949,127.0370136
(주)이마트 여의도점,37.5181719,126.9260538
(주)이마트 역삼점,37.499217,127.0484398
(주)이마트 왕십리점,37.5628787,127.0374323
(주)이마트 은평점,37.5999982,126.9201046
(주)이마트 자양점,37.5359522,127.0762701
(주)이마트천호점,37.5382475,127.1257502
롯데마트(주) 롯데마트 제타플렉스,37.5111034,127.0939188
삼성테스코(주)홈플러스 금천점,37.4695403,126.897297
삼성테스코(주)홈플러스 금천점,37.4695403,126.897297
신세계 이마트 명일점,37.5546134,127.1536615
신세계 이마트 여의도점,37.5180719,126.9259554
신세계이마트미아점,37.6113721,127.0296213
이마트 미아점,37.6113721,127.0296213
이마트 미아점,37.6113721,127.0296213
이마트 미아점,37.610891,127.029824
이마트 하월곡점,37.6082954,127.0270747
이마트구로점,37.484694,126.8958995
주식회사 이마트 묵동점,37.6132254,127.0816525
주식회사 이마트 상봉점,37.5957662,127.0935374
주식회사 이마트 청계천점,37.5709778,127.021434
코스트코 홀세일,37.5278725,126.8922792
코스트코코리아,37.4620262,127.0360987
코스트코홀세일 상봉점,37.5968635,127.0902125
홈플러스 강동점,37.5457174,127.1422509
홈플러스 서울남현점,37.4719389,126.9827129
홈플러스 시흥점,37.4532694,126.8976591
홈플러스 신내점,37.6108929,127.0925667
홈플러스 월곡점,37.6077595,127.0422513
홈플러스 합정점,37.5509344,126.9137824
홈플러스(주) 가양점,37.5649531,126.8478633
홈플러스(주) 강서점,37.5592705,126.854447
홈플러스(주) 금천점,37.4695403,126.897297
홈플러스(주) 동대문점,37.5745098,127.0387891
홈플러스(주) 서울 상봉점,37.5981008,127.0905139
홈플러스(주) 신도림점,37.5094204,126.8877437
홈플러스(주) 영등포점,37.5171252,126.8949598
홈플러스(주) 익스프레스 암사점,37.5619804,127.1453753
홈플러스(주) 중계점,37.6413039,127.0679877
홈플러스(주)방학점,37.6657274,127.0436431
홈플러스(주)월드컵점,37.5682617,126.8972735
홈플러스(주)익스프레스 광화문점,37.5704871,126.9747535
홈플러스(주)익스프레스미아점,37.624219,127.0273409
홈플러스(주)잠실점,37.5188846,127.0992806
(주)신세계 타임스퀘어점,37.5168362,126.9052178
(주)이마트 신월점,37.540557,126.8299859
(주)현대백화점 본점,37.5273339,127.0274702
갤러리아백화점(동관),37.5280802,127.0415695
갤러리아백화점(서관),37.5285614,127.0400548
건영옴니백화점,37.6399359,127.0642574
뉴코아백화점,37.5083529,127.0059798
롯데백화점 건대스타시티점,37.5390445,127.073087
롯데백화점 노원점,37.6551438,127.0610785
롯데백화점 본점,37.5648094,126.9810897
