Unnamed: 0,apt_code,name,type,road_addr,local1,local2,local3,local4,gene_type,apt_gene,apt_const,apt_area,apt_parking,x,y,car_road,train_n,bus_n,admin,medical,culture,eschool_n,kinder_n,d_center_n,edu_n,bank,mart,convin,cluster
412,A13882402,문정푸르지오1차,아파트,서울특별시 송파구 문정로 55,서울,송파구,문정동,,분양,233,대우,17746.0,242.0,127.1281123,37.4868865,0.0,1.0,58.0,3.0,25.0,1.0,4.0,8.0,61.0,78.0,6.0,2.0,31.0,3
1468,A13381608,마장현대,아파트,서울특별시 성동구 마장로35길 76,서울,성동구,마장동,,분양,1017,고려산업개발(주),86258.0,1042.0,127.0425631,37.5694733,0.0,3.0,56.0,3.0,17.0,2.0,3.0,4.0,33.0,22.0,7.0,2.0,28.0,3
2390,A10026910,관악우정하이비전아파트 1단지,아파트,서울특별시 관악구 양지길 50-5,서울,관악구,신림동,,분양,140,우정건설(주),11790.0,0.0,126.928987,37.47142332,0.0,1.0,44.0,5.0,21.0,0.0,3.0,4.0,30.0,28.0,1.0,1.0,51.0,3
547,A15606001,경동윈츠리버,아파트,서울특별시 동작구 노량진로32길 156,서울,동작구,본동,484번지,분양,272,경동건설,19986.0,282.0,126.9545986,37.5098847,1.0,2.0,77.0,2.0,30.0,1.0,4.0,7.0,29.0,29.0,4.0,1.0,21.0,3
40,A13187501,중화극동,아파트,서울특별시 중랑구 봉화산로27길 32,서울,중랑구,중화동,19번지,분양,156,극동건설,13006.0,160.0,127.0837949,37.6036519,0.0,3.0,47.0,5.0,20.0,0.0,4.0,8.0,42.0,38.0,4.0,0.0,28.0,3
245,A12284701,불광대호2차,아파트,서울특별시 은평구 불광로 90,서울,은평구,불광동,631-1,분양,198,(주)대호,15590.0,216.0,126.9328692,37.6147577,0.0,3.0,53.0,2.0,30.0,1.0,4.0,5.0,43.0,38.0,5.0,4.0,16.0,3
1221,A15780401,가양강나루현대,아파트,서울특별시 강서구 양천로 507,서울,강서구,가양동,강나루현대아파트,분양,642,고려산업개발(주),45932.0,652.0,126.856966,37.5607691,0.0,2.0,66.0,3.0,32.0,1.0,4.0,9.0,51.0,37.0,9.0,1.0,29.0,3
2264,A15720001,강서한강자이,아파트,서울특별시 강서구 양천로55길 55,서울,강서구,가양동,강서한강자이,,790,gs건설,73129.0,220.0,126.8481254,37.56647139,0.0,2.0,71.0,2.0,31.0,1.0,4.0,9.0,45.0,59.0,5.0,1.0,21.0,3
194,A13204501,창동대동,아파트,서울특별시 도봉구 도봉로 642-30,서울,도봉구,창동,811,분양,188,(주)대동,14993.0,213.0,127.0440625,37.6617487,0.0,1.0,62.0,4.0,29.0,0.0,4.0,9.0,57.0,77.0,8.0,2.0,25.0,3
1274,A13987205,하계1차청구아파트,아파트,서울특별시 노원구 한글비석로 91,서울,노원구,하계동,251번지 하계1차청구아파트관리사무소,분양,700,청구건설,59220.0,779.0,127.0709532,37.6394506,0.0,1.0,67.0,4.0,29.0,0.0,4.0,11.0,52.0,61.0,5.0,3.0,18.0,3
2072,A13776510,반포힐스테이트,아파트,서울특별시 서초구 신반포로16길 15-20,서울,서초구,반포동,반포힐스테이트,분양,397,(주)현대건설,42873.0,699.0,126.9968046,37.5012624,0.0,2.0,52.0,4.0,14.0,0.0,4.0,4.0,21.0,87.0,13.0,1.0,18.0,3
1994,A13679403,길음뉴타운7단지,아파트,서울특별시 성북구 길음로13길 22,서울,성북구,길음동,1285번지 길음뉴타운7단지 두산위브,분양,449,두산건설,37581.0,528.0,127.0188321,37.6097649,0.0,0.0,57.0,4.0,21.0,0.0,4.0,10.0,101.0,98.0,5.0,2.0,31.0,3
2151,B13679401,길음뉴타운7단지 제2,,,서울,성북구,길음1동,1285-5번지,임대,99,,,0.0,127.0188123,37.6097441,0.0,0.0,58.0,4.0,21.0,0.0,4.0,10.0,101.0,98.0,5.0,2.0,31.0,3
