,name,x,y
72,마루약국,126.8386642,37.56129073
73,하얀약국,127.0159782,37.59373206
74,한림약국,127.1347032,37.53659902
75,암사조은온누리약국,127.1403472,37.55525285
76,온누리좋은약국,126.8883151,37.49468863
77,21세기상계약국,127.0576261,37.6666666
78,종로삼성약국,127.0049208,37.57077915
79,창현약국,126.8121967,37.57679087
80,행복약국,126.9317538,37.51144645
81,삼성강남약국,127.0835242,37.48573633
82,이도건강약국,127.0579906,37.50959
83,뿌리약국,126.9188283,37.47430795
84,해솔약국,126.9427597,37.48255359
85,튼튼약국,127.0753012,37.53313524
86,목동센트럴약국,126.8424754,37.51815982
87,미도파약국,126.9188749,37.59528885
88,케이약국,126.9490652,37.58350499
89,위드팜만보약국,127.145897,37.52820687
90,상보약국,127.0626314,37.5403601
91,사과약국,126.8384276,37.56054483
92,이화약국,127.1273325,37.53783797
93,마곡하나약국,126.8383041,37.56009264
94,주연온누리약국,127.1286467,37.51090254
95,1번출구 새싹약국,127.0651692,37.61523935
96,동산약국,127.0657408,37.64349621
97,삼평약국,126.9317763,37.4999427
98,프라자약국,126.9432503,37.48347141
99,아파트약국,127.0314212,37.57368781
100,창신종로약국,127.0104533,37.57375793
101,라임약국,127.0113681,37.50211634
102,산들약국,127.1403472,37.55525285
103,청원약국,127.1258172,37.54035753
104,고덕퍼스트약국,127.1645103,37.5571351
105,리엔약국,127.1747855,37.55136837
106,새봄약국,127.1186728,37.53396926
107,별약국,127.1255937,37.5316068
108,벽산온누리약국,126.9182453,37.45221259
109,참약사사귐약국,127.1338269,37.49773364
110,역삼하이츠온누리약국,127.0361358,37.5009805
111,햇살약국,126.9374964,37.55344726
112,이화약국,126.9090886,37.49519803
113,한빛약국,127.0925684,37.58968869
114,미소온누리약국,127.0840327,37.53701194
115,한누리약국,126.9729035,37.57495856
116,필온누리약국,126.9363752,37.55558816
117,참약사도담약국,127.0664892,37.54106095
118,코리아약국,127.0607545,37.48282727
119,청담엔약국,127.0381161,37.52243874
120,모두온누리약국,126.9575645,37.4798287
121,길동스타약국,127.1409075,37.53930866
122,햇살약국,127.1545001,37.55200492
123,스타온누리약국,127.1486002,37.55768914
124,밝은미소약국,127.1441904,37.54662495
125,경희수약국,127.1557725,37.55229076
126,늘푸른약국,127.1353191,37.52898829
127,메디팜강일약국,127.1738157,37.56562257
128,조은약국,127.1483541,37.5315895
129,강동포도약국,127.1347778,37.53680572
130,휴베이스 캐슬약국,127.1438388,37.55516675
131,천호브라운스톤약국,127.123789,37.5380514
132,정든약국,127.143728,37.5476786
133,강동우리약국,127.1355522,37.53560245
134,참약사스마일약국,127.0554838,37.47857819
135,백세비타민약국,126.8973483,37.48158609
136,천호역자몽약국,127.1237424,37.53857898
137,보룡약국,126.9309125,37.60897507
138,현약국,127.1087523,37.50269059
139,나이스약국,127.0261625,37.50008852
140,지하철정문약국,127.1240678,37.49560314
141,해든약국,127.1170047,37.51033097
142,튼튼약국,126.907666,37.51566803
143,자연그대로다린한약국,127.117685,37.50279123
144,사랑약국,126.9014625,37.4506395
145,도토리약국,126.9182453,37.45221259
146,스타온누리약국,127.0218428,37.56527089
147,참약사한마음약국,127.1325105,37.53010953
148,새명성약국,126.9741151,37.57040097
149,셀메드행복한약국,127.1025318,37.49761457
150,미소약국,126.811826,37.57372519
151,은행약국,127.0798673,37.60137391
152,마음약국,127.0435785,37.57991937
153,동인약국,126.9666423,37.47210734
154,제일약국,127.1126332,37.51151572
155,월계우리약국,127.0647781,37.62383436
156,오늘약국,127.0178999,37.51349441
157,메디팜푸른약국,127.1298537,37.49466141
158,밝은미소약국,127.0874897,37.49188698
159,보명약국,126.9160975,37.57548326
160,럭키약국,127.1289704,37.53738578
161,진약국,127.0970617,37.60738604
162,참사랑한약국,126.8923038,37.47924987
163,가든건강약국,127.122746,37.47771763
164,마프자서울약국,126.9476103,37.55396071
165,경희고황약국,127.0524479,37.59315711
166,파마시아약국,127.0222793,37.50737854
167,스카이약국,126.9911874,37.49112346
168,행복약국,127.1353941,37.53527016
169,두드림온누리약국,127.0515596,37.56816195
170,황약국,127.0969475,37.59882402
171,메디컬수약국,126.8919313,37.52217146
172,늘조은온누리약국,127.0712464,37.58167249
173,참이화약국,127.0547622,37.56579837
174,화인약국,127.1178428,37.49176204
175,명약국,127.0605711,37.58735606
176,정동약국,127.0560116,37.5660352
177,평제약국,127.0357641,37.58300853
178,새서울약국,126.9445951,37.58812255
179,마니약국,127.0268264,37.50082423
