name,y,x
서울구현초등학교병설유치원,37.6097896,126.9057073
아랑유치원,37.59738598,127.019323
예일유치원,37.55828818,127.0828019
우람유치원,37.57488098,126.8143291
서울면목초등학교병설유치원,37.5906966,127.0872878
서울문창초등학교병설유치원,37.48898483,126.9148407
잠실럭키유치원,37.51673328,127.0898891
구룡유치원,37.47112837,127.0491705
남부유치원,37.48760335,127.0497551
서울도봉초등학교병설유치원,37.67996175,127.0382887
서울수암초등학교병설유치원,37.64769283,127.0814646
서울매봉초등학교병설유치원,37.50491523,126.8443653
서울서정초등학교병설유치원,37.52345012,126.8672362
하늘유치원,37.47405819,126.9322567
고운유치원,37.64403497,127.0669272
까치유치원,37.65611109,127.072595
서울고척초등학교병설유치원,37.50099779,126.8568624
서울남유치원,37.48804062,126.8818089
서울탑동유치원,37.45251655,126.9153675
살레시오성미유치원,37.50164288,126.909256
피노키오유치원,37.59002424,126.9089678
한양제일유치원,37.58327722,126.9472325
서울신원초등학교병설유치원,37.52951558,126.8298656
한별유치원,37.64191952,127.038011
경복유치원,37.59591997,126.9456918
성산아트유치원,37.5653495,126.9090436
제일무궁화유치원,37.49473692,127.1309926
동화나라유치원,37.66669198,127.079126
서울송전초등학교병설유치원,37.50882909,127.0951265
행복유치원,37.49568237,126.9411339
명덕유치원,37.55987397,127.153178
올림픽유치원,37.5166909,127.1377123
예은유치원,37.50471861,127.1204123
동국유치원,37.57492985,127.0889735
봄내유치원,37.58597388,127.0855505
유정유치원,37.60667207,126.9267632
와우랩유치원,37.5940291,126.9215658
정님유치원,37.54995204,126.946931
가명유치원,37.55919341,126.9669801
근화유치원,37.55906983,127.0089631
배화여자대학교 부속 배화유치원,37.57954401,126.9672919
탑주유치원,37.60477971,127.041073
성실유치원,37.64265579,127.019639
우일유치원,37.53517807,126.855325
한영유치원,37.52849819,126.9047891
슬기유치원,37.55205584,127.0925744
윤진유치원,37.54273698,127.0650469
자양하나유치원,37.53888146,127.0786109
서울가락초등학교병설유치원,37.49987464,127.1072149
서울길동초등학교병설유치원,37.53859168,127.1449729
예원유치원,37.50921925,127.1240428
햇빛유치원,37.52048936,127.1141236
계상유치원,37.51250727,126.8398501
우리곰유치원,37.57121146,126.843592
희산유치원,37.64697866,127.0614643
동선유치원,37.58403085,127.0203784
명덕유치원,37.60980631,127.0228843
녹원유치원,37.54851639,127.1535721
서울양목초등학교병설유치원,37.52387928,126.8616692
세진유치원,37.54089852,126.8327517
신정유치원,37.51357078,126.8333718
동천유치원,37.5063501,126.9121234
명신유치원,37.50763361,126.9083702
윤경유치원,37.61726537,127.0855444
한양유치원,37.57225174,127.0605024
양지유치원,37.47968764,126.9059888
우성유치원,37.5057428,126.9006238
서울청룡초등학교병설유치원,37.47672527,126.9512846
양문유치원,37.48919123,126.9073888
보람유치원,37.60009757,126.9142235
성심유치원,37.56624377,127.0334191
화랑유치원,37.54292636,127.1377705
서울역삼초등학교병설유치원,37.49316124,127.0326028
세하유치원,37.57105683,127.0751137
서울돈암초등학교병설유치원,37.59374656,127.0131036
서울수유초등학교병설유치원,37.63124966,127.0202924
공항제일유치원,37.56523444,126.8106723
목동다솜유치원,37.5242456,126.8387696
등현유치원,37.5614611,126.8485182
상명사대부속유치원,37.60074851,126.9564255
서울덕수초등학교병설유치원,37.56908888,126.9746579
서울재동초등학교병설유치원,37.58002991,126.9851778
원유치원,37.5196486,126.9768168
유성유치원,37.540586,126.9906334
청룡유치원,37.5794124,127.0166548
희망찬유치원,37.59899275,127.0231395
서울방이초등학교병설유치원,37.51343919,127.1204725
서울신명초등학교병설유치원,37.54092685,127.1499791
샛별유치원,37.49804559,126.950281
강동유정유치원,37.55056245,127.174954
보성유치원,37.54365673,127.1042503
아름유치원,37.61696865,127.0303759
은하유치원,37.6094831,127.0586792
한마음유치원,37.61619034,127.0411885
신암유치원,37.58677251,127.0173451
서울미래초등학교병설유치원,37.50510665,126.8880803
성락유치원,37.5039634,126.9011511
솔샘유치원,37.62182327,127.0124075
유니유치원,37.56375809,126.8592894
서울영동초등학교병설유치원,37.52700691,126.9077034
서울연은초등학교병설유치원,37.59051222,126.9251126
서울묵현초등학교병설유치원,37.60904476,127.0739287
서울남천초등학교병설유치원,37.50144683,127.1507642
창문유치원,37.61340092,127.035828
은아유치원,37.47545098,126.9644281
공능유치원,37.62513957,127.0740461
서울국악유치원,37.44637069,126.9064634
서울영등포초등학교병설유치원,37.51294802,126.89826
성심유치원,37.50744512,126.9005679
조은유치원,37.57849683,126.9173923
충암유치원,37.58464029,126.9218095
현대홍익유치원,37.58405482,126.9432506
방화이화유치원,37.57408919,126.8135281
사슴유치원,37.5309025,126.8358526
서울유치원,37.60075075,127.0687695
녹번유치원,37.5998352,126.9300681
라라유치원,37.61316899,126.9119593
신예유치원,37.51232428,126.8534546
기린유치원,37.50776693,127.1075831
파란나라유치원,37.50321855,126.8972609
그림유치원,37.50237105,127.1330032
아이코리아부속새세대유치원,37.48275713,127.1340442
나래유치원,37.59403996,127.0896274
동일유치원,37.57814507,127.0846556
미광유치원,37.59790123,127.0966088
사군자유치원,37.56519585,127.0637752
산정현유치원,37.59267768,127.0540679
새샛별유치원,37.59996982,127.1029951
서울용강초등학교병설유치원,37.54910215,126.9440443
이화여자대학교사범대학부속이화유치원,37.56446452,126.9502888
인왕유치원,37.58547005,126.9494803
영재유치원,37.59743434,127.0347685
예지유치원,37.55766194,126.8132171
진일유치원,37.56709401,126.8547358
개봉샛별유치원,37.49167081,126.856831
파랑새유치원,37.50238382,126.9002585
평화유치원,37.53237867,126.8968009
선덕유치원,37.63306464,127.0671232
염광유치원,37.63028445,127.0492646
서울북성유치원,37.55947917,126.9512743
성수아름유치원,37.53638474,127.062392
정신유치원,37.53735904,127.0646476
푸른유치원,37.48476112,127.0808748
하나유치원,37.51520569,127.0102695
서울강덕초등학교병설유치원,37.55954748,127.1604836
근화유치원,37.55382442,127.151914
별나라유치원,37.48145117,127.1263896
둔촌유치원,37.53137831,127.1397064
운산유치원,37.63207255,127.0217093
사랑유치원,37.49840006,126.9211738
산내들유치원,37.6263561,127.0821837
서울베네딕도유치원,37.59965709,127.0158048
무지개유치원,37.49341397,126.9569744
벧엘유치원,37.50934144,126.9422387
서울유치원,37.48755544,126.9559885
월드유치원,37.58040528,126.8811422
송파유정유치원,37.4857221,127.1330635
예은유치원,37.53894505,126.8472365
서울천왕초등학교병설유치원,37.48141617,126.8369446
수미유치원,37.53216869,126.8385428
수영유치원,37.54129134,126.8785038
사랑유치원,37.50626346,126.8763484
푸른솔유치원,37.57460947,127.0601291
나랑유치원,37.48573392,126.9439648
시내유치원,37.47615677,126.8912894
여의유치원,37.52256343,126.9312031
성모유치원,37.50158589,126.9399607
덕성여자대학교부속유치원,37.65247041,127.0158349
미광유치원,37.62336469,127.0821222
청암유치원,37.65177721,127.0738595
풍천유치원,37.66116027,127.0609973
하늘유치원,37.63583167,127.0519269
아이들이야기유치원,37.54362473,126.9439008
삼성유치원,37.58158746,126.9194124
새나유치원,37.57566143,126.9208517
서울염경초등학교병설유치원,37.55500067,126.8712046
서울반포초등학교병설유치원,37.50248483,126.9917416
신우주유치원,37.48520191,127.0826728
서울장충유치원,37.55997122,127.0117048
운현유치원,37.57663053,126.9881575
정우유치원,37.53619687,126.9625138
한가람유치원,37.51951875,126.9812611
